id,progressivo,tipo_veicolo,destinazione,uso,comune_residenza,provincia_residenza,regione_residenza,eta_intestatario,sesso,marca,cilindrata,alimentazione,kw,data_immatricolazione,classe_euro,emissioni_co2,massa_complessiva,revisione_in_regola,assicurazione_in_regola
1775,29676704,M,MOTOCICLO PER TRASPORTO PERSONE,PROPRIO,TERAMO,TERAMO,ABRUZZO,34,M,PIAGGIO,278.00,BENZ,16,2015-05-14 00:00:00,3,,365,S,S
452453,18157785,M,MOTOCICLO PER TRASPORTO PERSONE,PROPRIO,MONTESILVANO,PESCARA,ABRUZZO,56,M,,123.00,B/OLIO,7,1989-10-06 00:00:00,0,,267,N,N
200227,6999525,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,PESCARA,PESCARA,ABRUZZO,70,,NISSAN,998.00,BENZ,40,1997-07-17 00:00:00,2,,1250,N,S
662566,27160425,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,L'AQUILA,L'AQUILA,ABRUZZO,38,F,FIAT - INNOCENTI,1108.00,BENZ,40,2004-01-21 00:00:00,3,143,1200,S,S
761755,32398568,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,MONTESILVANO,PESCARA,ABRUZZO,65,M,FIAT - INNOCENTI,1248.00,GASOL,55,2005-11-11 00:00:00,4,119,1650,S,S
1044385,46348591,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,CHIETI,CHIETI,ABRUZZO,49,M,TOYOTA,1364.00,GASOL,66,2010-06-09 00:00:00,4,130,1700,S,S
675586,27933037,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,MONTESILVANO,PESCARA,ABRUZZO,33,M,FIAT - INNOCENTI,1248.00,GASOL,66,2009-06-22 00:00:00,4,119,1705,S,S
421522,17283836,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,TORANO NUOVO,TERAMO,ABRUZZO,69,F,FIAT - INNOCENTI,1242.00,BENZ,44,2001-02-07 00:00:00,3,136,1385,S,S
807028,34177229,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,L'AQUILA,L'AQUILA,ABRUZZO,56,M,FIAT - INNOCENTI,1910.00,GASOL,110,2009-08-11 00:00:00,4,157,2050,S,S
418578,17225548,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,MARTINSICURO,TERAMO,ABRUZZO,87,M,FIAT - INNOCENTI,770.00,BENZ,25,1991-10-28 00:00:00,0,,1100,S,S
832554,35904140,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,CAMPLI,TERAMO,ABRUZZO,57,M,FIAT - INNOCENTI,1248.00,GASOL,55,2014-04-30 00:00:00,5,107,1710,S,S
264578,10313205,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,CITTA' SANT'ANGELO,PESCARA,ABRUZZO,33,F,TOYOTA,998.00,BENZ,50,2010-08-30 00:00:00,4,106,1190,S,S
584700,22795324,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,SAN SALVO,CHIETI,ABRUZZO,54,M,FIAT - INNOCENTI,1242.00,BENZ,51,2016-04-18 00:00:00,5,120,1440,S,S
317541,13327988,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,L'AQUILA,L'AQUILA,ABRUZZO,33,F,FORD,1399.00,GASOL,52,2012-01-13 00:00:00,5,107,1535,S,S
327300,13911213,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,SPOLTORE,PESCARA,ABRUZZO,68,F,TOYOTA,1364.00,GASOL,66,2007-10-19 00:00:00,4,119,1525,S,S
150616,6529370,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,COLLECORVINO,PESCARA,ABRUZZO,91,F,BMW,1573.00,BENZ,55,1982-12-21 00:00:00,0,,1440,N,N
452810,18194426,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,PINETO,TERAMO,ABRUZZO,38,F,SMART,999.00,BENZ,52,2008-05-09 00:00:00,4,112,1020,S,S
379741,16605429,A,AUTOVEICOLO PER USO SPECIALE,PROPRIO,CASTEL CASTAGNA,TERAMO,ABRUZZO,31,M,FIAT - INNOCENTI,2499.00,GASOL,55,1986-06-04 00:00:00,0,,2850,N,N
839373,36283396,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,PESCARA,PESCARA,ABRUZZO,83,M,VOLKSWAGEN,999.00,BENZ,55,2014-05-22 00:00:00,6,116,1540,S,S
477564,19585217,A,AUTOVETTURA PER TRASPORTO DI PERSONE,PROPRIO,S.VINCENZO VAL.ROVETO,L'AQUILA,ABRUZZO,46,M,AUDI,1390.00,BENZ,55,2000-11-22 00:00:00,4,146,1380,S,S
